Year,Total performed,Total scheduled,Large hub Performed,Large hubs Scheduled,Medium hubs Performed,Medium hubs Scheduled,Small hubs Performed,Small hubs Scheduled,Nonhubs Performed,Nonhubs Scheduled
1975,4555516,4530535,2437958,2409874,902652,899543,640589,644133,574317,576985
1980,5156848,5204564,2887239,2905923,1048726,1058438,598559,608738,622324,631465
1985,5505659,5591596,3439446,3487660,1185008,1201540,514176,524048,367029,378348
1990,6641681,6758571,4167868,4237466,1394833,1417762,669450,679103,409530,424240
1991,6545000,7024412,4114950,4312032,1256306,1352515,689518,858429,484226,501436
1992,6606609,6703670,4078211,4144325,1301977,1312257,771529,783305,454892,463783
1993,7193841,7058097,4480575,4443937,1310322,1268316,841685,794279,561259,551565
1994,7513232,7359093,4756589,4713178,1471377,1398144,710569,685421,574697,562350
1995,8030530,7920467,5162534,5147875,1439639,1387833,738231,711947,690126,672812
1996,8204674,8064653,5257541,5243646,1425280,1356162,754914,722170,766939,742675
1997,8095888,7907554,5266560,5219161,1430537,1352944,695841,660685,702950,674764
1998,8248269,8094020,5416158,5405728,1429730,1345197,714920,674812,687461,668283
1999,8605486,8432940,5645179,5570419,1499243,1404482,746625,770092,714439,687947
2000,8929559,8688776,5851801,5720435,1574986,1507991,779518,759208,723254,701142
2001,8548932,8340180,5177758,5092030,1893805,1812161,864722,856112,612647,579877
2002,8052756,7981190,4918940,4867648,1791778,1784913,788758,809246,553280,519383
2003,8585736,8479414,5336246,5326856,1703127,1671068,884306,855679,662057,625811
2004,9444234,9193220,5591234,5486529,2046105,2007421,1088691,1025145,718204,674125
2005,9859941,9722715,5842793,5806009,2184522,2153826,1091838,1064124,740788,698756
2006,9512017,9429017,5660186,5654357,2076849,2062423,1095346,1078363,679636,633874
2007,10985488,10669356,6095332,6238895,2304571,2281580,1161796,1165276,1423789,983605
2008,10307025,9975967,5742452,5866511,2208796,2181478,1057948,1055628,1297829,872350
2009,9646132,9324192,5478849,5588496,1886160,1866885,1074315,1073434,1206808,795377
2010,9596396,9241790,5493422,5592055,1824436,1803246,1057046,1051455,1221492,795034
2011,9577700,9160580,5833721,5901900,1577931,1553606,961892,950117,1204156,754957
2012,9345013,8836158,5858101,5843654,1355055,1323519,955833,929548,1176024,739437
2013,9217652,8765026,5833833,5855798,1380974,1338064,935700,918444,1067145,652720
2014,8986825,8631508,5751854,5809664,1290070,1263716,930588,925268,1014313,632860
